Id,SalePrice
1461,138240
1462,249088
1463,174848
1464,216832
1465,174848
1466,174848
1467,174848
1468,174848
1469,138240
1470,138240
1471,174848
1472,180224
1473,180224
1474,138240
1475,138240
1476,272384
1477,272384
1478,212480
1479,249088
1480,212480
1481,180224
1482,272384
1483,174848
1484,180224
1485,174848
1486,174848
1487,294912
1488,180224
1489,170496
1490,138240
1491,180224
1492,138240
1493,180480
1494,216832
1495,180224
1496,174848
1497,138240
1498,180224
1499,138240
1500,180224
1501,180224
1502,174848
1503,174848
1504,174848
1505,138240
1506,249088
1507,138240
1508,174848
1509,138240
1510,212480
1511,170496
1512,180224
1513,174848
1514,249088
1515,180224
1516,235776
1517,216832
1518,138240
1519,180224
1520,249088
1521,249088
1522,235776
1523,138240
1524,138240
1525,138240
1526,138240
1527,138240
1528,138240
1529,174848
1530,212480
1531,212480
1532,138240
1533,170496
1534,138240
1535,138240
1536,138240
1537,138240
1538,138240
1539,138240
1540,138240
1541,138240
1542,138240
1543,174848
1544,138240
1545,138240
1546,138240
1547,235776
1548,138240
1549,138240
1550,138240
1551,138240
1552,138240
1553,138240
1554,138240
1555,216832
1556,174848
1557,138240
1558,174848
1559,177664
1560,138240
1561,180224
1562,212480
1563,170496
1564,174848
1565,138240
1566,207104
1567,138240
1568,216832
1569,138240
1570,138240
1571,138240
1572,138240
1573,318208
1574,174848
1575,180224
1576,216832
1577,235776
1578,174848
1579,138240
1580,174848
1581,174848
1582,138240
1583,212480
1584,138240
1585,180224
1586,138240
1587,138240
1588,174848
1589,138240
1590,138240
1591,170496
1592,180224
1593,138240
1594,158464
1595,138240
1596,216832
1597,180224
1598,216832
1599,174848
1600,174848
1601,138240
1602,138240
1603,170496
1604,304640
1605,138240
1606,138240
1607,174848
1608,272384
1609,138240
1610,138240
1611,170496
1612,138240
1613,138240
1614,138240
1615,138240
1616,138240
1617,138240
1618,138240
1619,138240
1620,138240
1621,138240
1622,174848
1623,170496
1624,138240
1625,174848
1626,212480
1627,174848
1628,216832
1629,180224
1630,174848
1631,174848
1632,174848
1633,174848
1634,138240
1635,174848
1636,180224
1637,180224
1638,216832
1639,180224
1640,216832
1641,180224
1642,138240
1643,138240
1644,138240
1645,216832
1646,212480
1647,174848
1648,174848
1649,216832
1650,138240
1651,138240
1652,180224
1653,180224
1654,138240
1655,138240
1656,138240
1657,138240
1658,138240
1659,138240
1660,212480
1661,268032
1662,138240
1663,268032
1664,268032
1665,235776
1666,249088
1667,290304
1668,304640
1669,272384
1670,207104
1671,249088
1672,249088
1673,272384
1674,272384
1675,272384
1676,272384
1677,272384
1678,304640
1679,249088
1680,249088
1681,212480
1682,212480
1683,235776
1684,138240
1685,174848
1686,180224
1687,174848
1688,216832
1689,174848
1690,174848
1691,174848
1692,174848
1693,174848
1694,174848
1695,138240
1696,262656
1697,174848
1698,180224
1699,249088
1700,180224
1701,216832
1702,272384
1703,180224
1704,235776
1705,304640
1706,268032
1707,174848
1708,170496
1709,272384
1710,235776
1711,268032
1712,212480
1713,138240
1714,174848
1715,174848
1716,138240
1717,138240
1718,138240
1719,174848
1720,216832
1721,138240
1722,138240
1723,138240
1724,180224
1725,216832
1726,138240
1727,138240
1728,138240
1729,216832
1730,138240
1731,207104
1732,174848
1733,174848
1734,174848
1735,174848
1736,180224
1737,216832
1738,180224
1739,138240
1740,272384
1741,272384
1742,180224
1743,212480
1744,216832
1745,138240
1746,180224
1747,174848
1748,180224
1749,180224
1750,180224
1751,249088
1752,138240
1753,170496
1754,180224
1755,212480
1756,138240
1757,170496
1758,216832
1759,216832
1760,180224
1761,272384
1762,174848
1763,212480
1764,138240
1765,138240
1766,249088
1767,216832
1768,180224
1769,216832
1770,207104
1771,138240
1772,138240
1773,138240
1774,212480
1775,249088
1776,170496
1777,138240
1778,170496
1779,212480
1780,138240
1781,138240
1782,138240
1783,138240
1784,138240
1785,138240
1786,138240
1787,138240
1788,138240
1789,138240
1790,138240
1791,235776
1792,180224
1793,174848
1794,170496
1795,304640
1796,237056
1797,138240
1798,170496
1799,138240
1800,138240
1801,138240
1802,138240
1803,180224
1804,216832
1805,170496
1806,138240
1807,138240
1808,138240
1809,138240
1810,138240
1811,138240
1812,138240
1813,138240
1814,138240
1815,138240
1816,138240
1817,138240
1818,138240
1819,138240
1820,138240
1821,138240
1822,138240
1823,157184
1824,138240
1825,138240
1826,180224
1827,138240
1828,138240
1829,170496
1830,138240
1831,138240
1832,170496
1833,138240
1834,220672
1835,290304
1836,138240
1837,170496
1838,138240
1839,174848
1840,138240
1841,174848
1842,138240
1843,212480
1844,216832
1845,170496
1846,212480
1847,212480
1848,138240
1849,174848
1850,170496
1851,170496
1852,138240
1853,180224
1854,174848
1855,216832
1856,138240
1857,138240
1858,138240
1859,138240
1860,180224
1861,138240
1862,212480
1863,212480
1864,212480
1865,268032
1866,272384
1867,138240
1868,304640
1869,138240
1870,216832
1871,235776
1872,174848
1873,174848
1874,138240
1875,220672
1876,180224
1877,216832
1878,180224
1879,216832
1880,216832
1881,170496
1882,216832
1883,138240
1884,138240
1885,180224
1886,212480
1887,180224
1888,180224
1889,138240
1890,138240
1891,180224
1892,138240
1893,138240
1894,212480
1895,212480
1896,138240
1897,180224
1898,138240
1899,138240
1900,141056
1901,138240
1902,174848
1903,174848
1904,138240
1905,272384
1906,138240
1907,235776
1908,138240
1909,138240
1910,138240
1911,216832
1912,170496
1913,141056
1914,138240
1915,304640
1916,138240
1917,138240
1918,138240
1919,138240
1920,138240
1921,272384
1922,216832
1923,174848
1924,249088
1925,174848
1926,304640
1927,216832
1928,249088
1929,174848
1930,138240
1931,138240
1932,138240
1933,216832
1934,174848
1935,180224
1936,174848
1937,220672
1938,174848
1939,174848
1940,174848
1941,174848
1942,180224
1943,174848
1944,272384
1945,249088
1946,207104
1947,212480
1948,249088
1949,216832
1950,216832
1951,249088
1952,212480
1953,212480
1954,180224
1955,138240
1956,235776
1957,180224
1958,216832
1959,138240
1960,180224
1961,170496
1962,180224
1963,180224
1964,180224
1965,138240
1966,138240
1967,268032
1968,268032
1969,249088
1970,212480
1971,212480
1972,216832
1973,268032
1974,272384
1975,268032
1976,216832
1977,180224
1978,216832
1979,249088
1980,290304
1981,249088
1982,212480
1983,212480
1984,235776
1985,180224
1986,212480
1987,180224
1988,174848
1989,174848
1990,216832
1991,272384
1992,216832
1993,138240
1994,174848
1995,174848
1996,212480
1997,212480
1998,216832
1999,174848
2000,216832
2001,212480
2002,216832
2003,235776
2004,268032
2005,170496
2006,138240
2007,180224
2008,235776
2009,138240
2010,180224
2011,180224
2012,138240
2013,216832
2014,216832
2015,262656
2016,138240
2017,138240
2018,170496
2019,138240
2020,138240
2021,170496
2022,180224
2023,138240
2024,249088
2025,212480
2026,174848
2027,138240
2028,138240
2029,235776
2030,249088
2031,216832
2032,174848
2033,216832
2034,180224
2035,216832
2036,180224
2037,180224
2038,174848
2039,252928
2040,235776
2041,138240
2042,138240
2043,174848
2044,138240
2045,174848
2046,138240
2047,138240
2048,170496
2049,174848
2050,174848
2051,174848
2052,138240
2053,174848
2054,174848
2055,180224
2056,138240
2057,212480
2058,180224
2059,180224
2060,138240
2061,216832
2062,138240
2063,235776
2064,216832
2065,170496
2066,180224
2067,138240
2068,138240
2069,138240
2070,138240
2071,141056
2072,138240
2073,174848
2074,216832
2075,216832
2076,138240
2077,138240
2078,138240
2079,138240
2080,138240
2081,138240
2082,138240
2083,138240
2084,138240
2085,138240
2086,138240
2087,138240
2088,138240
2089,138240
2090,138240
2091,138240
2092,138240
2093,138240
2094,138240
2095,138240
2096,157184
2097,138240
2098,138240
2099,138240
2100,138240
2101,138240
2102,138240
2103,138240
2104,138240
2105,138240
2106,138240
2107,138240
2108,180224
2109,138240
2110,174848
2111,174848
2112,138240
2113,138240
2114,138240
2115,138240
2116,138240
2117,138240
2118,138240
2119,138240
2120,174848
2121,174848
2122,138240
2123,138240
2124,138240
2125,141056
2126,138240
2127,138240
2128,141056
2129,174848
2130,138240
2131,138240
2132,138240
2133,138240
2134,138240
2135,138240
2136,138240
2137,138240
2138,138240
2139,180224
2140,174848
2141,148224
2142,216832
2143,174848
2144,138240
2145,138240
2146,138240
2147,256000
2148,138240
2149,170496
2150,174848
2151,138240
2152,158464
2153,170496
2154,138240
2155,111616
2156,234752
2157,180224
2158,220672
2159,174848
2160,174848
2161,272384
2162,268032
2163,268032
2164,262656
2165,195072
2166,138240
2167,216832
2168,216832
2169,216832
2170,174848
2171,216832
2172,216832
2173,174848
2174,180224
2175,216832
2176,294912
2177,220672
2178,216832
2179,180224
2180,138240
2181,235776
2182,235776
2183,138240
2184,170496
2185,180224
2186,212480
2187,207104
2188,170496
2189,174848
2190,138240
2191,111616
2192,170496
2193,138240
2194,138240
2195,235776
2196,138240
2197,138240
2198,180224
2199,138240
2200,141056
2201,138240
2202,138240
2203,207104
2204,174848
2205,174848
2206,249088
2207,272384
2208,138240
2209,174848
2210,138240
2211,138240
2212,138240
2213,138240
2214,170496
2215,138240
2216,180224
2217,138240
2218,138240
2219,138240
2220,138240
2221,304640
2222,304640
2223,262656
2224,138240
2225,138240
2226,138240
2227,216832
2228,304640
2229,174848
2230,138240
2231,272384
2232,216832
2233,180224
2234,249088
2235,207104
2236,174848
2237,216832
2238,216832
